iter	Passed	Remaining
402	13939	20650
403	13968	20606
404	13996	20563
405	14033	20532
406	14061	20487
407	14087	20440
408	14111	20391
409	14143	20353
410	14173	20312
411	14199	20265
412	14240	20240
413	14278	20210
414	14305	20165
415	14336	20126
416	14366	20085
417	14394	20042
418	14422	19998
419	14455	19962
420	14483	19919
421	14507	19871
422	14533	19824
423	14564	19785
424	14588	19737
425	14617	19696
426	14644	19651
427	14674	19611
428	14707	19575
429	14738	19537
430	14778	19509
431	14809	19472
432	14834	19425
433	14860	19380
434	14890	19340
435	14916	19295
436	14946	19255
437	14981	19222
438	15011	19183
439	15037	19139
440	15079	19113
441	15106	19071
442	15132	19026
443	15160	18984
444	15282	19060
445	15314	19022
446	15359	19001
447	15402	18978
448	15433	18940
449	15459	18895
450	15489	18855
451	15520	18817
452	15545	18770
453	15573	18729
454	15601	18687
455	15627	18643
456	15657	18604
457	15694	18572
458	15723	18532
459	15749	18488
460	15776	18445
461	15805	18405
462	15832	18362
463	15857	18318
464	15884	18275
465	15924	18248
466	15950	18205
467	15984	18170
468	16015	18132
469	16043	18091
470	16071	18050
471	16098	18008
472	16126	17967
473	16152	17924
474	16180	17883
475	16213	17847
476	16247	17813
477	16275	17773
478	16304	17734
479	16336	17698
480	16372	17665
481	16397	17622
482	16434	17591
483	16473	17562
484	16498	17519
485	16530	17482
486	16555	17439
487	16581	17396
488	16605	17352
489	16637	17316
490	16675	17287
491	16702	17245
492	16728	17203
493	16760	17167
494	16785	17124
495	16810	17082
496	16837	17040
497	16868	17003
498	16892	16960
499	16919	16919
500	16949	16881
501	16994	16858
502	17027	16824
503	17057	16786
504	17088	16750
505	17114	16708
506	17139	16666
507	17171	16630
508	17198	16589
509	17229	16553
510	17262	16518
511	17290	16480
512	17316	16439
513	17345	16400
514	17382	16369
515	17408	16329
516	17457	16309
517	17496	16280
518	17526	16243
519	17558	16207
520	17589	16171
521	17616	16131
522	17641	16089
523	17672	16053
524	17707	16020
525	17735	15982
526	17762	15942
527	17790	15903
528	17817	15863
529	17842	15822
530	17869	15782
531	17897	15744
532	17927	15707
533	17959	15672
534	17991	15637
535	18024	15603
536	18050	15563
537	18077	15523
538	18116	15495
539	18146	15458
540	18182	15426
541	18215	15392
542	18254	15363
543	18283	15325
544	18313	15289
545	18344	15253
546	18375	15217
547	18400	15177
548	18430	15140
549	18459	15102
550	18483	15062
551	18510	15022
552	18546	14991
553	18574	14953
554	18601	14914
555	18629	14876
556	18668	14847
557	18696	14809
558	18721	14769
559	18750	14732
560	18781	14696
561	18809	14659
562	18835	14620
563	18873	14590
564	18899	14550
565	18925	14511
566	18958	14477
567	18984	14438
568	19025	14410
569	19058	14377
570	19089	14342
571	19116	14303
572	19140	14263
573	19175	14231
574	19214	14201
575	19244	14165
576	19278	14132
577	19314	14101
578	19347	14067
579	19388	14039
580	19412	13999
581	19439	13961
582	19469	13926
583	19499	13889
584	19525	13851
585	19631	13869
586	19680	13847
587	19709	13809
588	19751	13782
589	19802	13760
590	19836	13728
591	19865	13691
592	19893	13653
593	19919	13615
594	19952	13581
595	19983	13545
596	20012	13508
597	20047	13476
598	20082	13444
599	20112	13408
600	20141	13371
601	20170	13335
602	20202	13300
603	20229	13262
604	20260	13227
605	20307	13203
606	20347	13174
607	20380	13140
608	20410	13104
609	20440	13068
610	20469	13031
611	20499	12996
612	20540	12967
613	20571	12932
614	20597	12894
615	20627	12858
616	20662	12825
617	20693	12790
618	20724	12756
619	20756	12721
620	20780	12682
621	20813	12648
622	20849	12616
623	20877	12579
624	20901	12541
625	20934	12507
626	20976	12478
627	21010	12445
628	21038	12408
629	21066	12372
630	21090	12333
631	21122	12299
632	21150	12262
633	21181	12228
634	21207	12190
635	21241	12156
636	21282	12128
637	21321	12097
638	21355	12064
639	21392	12033
640	21421	11997
641	21451	11961
642	21479	11925
643	21506	11888
644	21534	11852
645	21562	11815
646	21593	11781
647	21625	11746
648	21657	11713
649	21682	11675
650	21711	11639
651	21742	11604
652	21771	11569
653	21801	11533
654	21828	11497
655	21861	11464
656	21897	11432
657	21932	11399
658	21965	11366
659	21992	11329
660	22022	11294
661	22063	11264
662	22133	11250
663	22169	11218
664	22199	11183
665	22225	11146
666	22254	11110
667	22280	11073
668	22318	11042
669	22343	11005
670	22374	10970
671	22406	10936
672	22431	10898
673	22462	10864
674	22505	10836
675	22539	10802
676	22566	10766
677	22596	10731
678	22626	10696
679	22652	10659
680	22677	10622
681	22708	10588
682	22738	10553
683	22765	10517
684	22794	10482
685	22830	10450
686	22869	10419
687	22914	10391
688	22967	10367
689	22994	10330
690	23042	10304
691	23072	10269
692	23100	10233
693	23130	10198
694	23158	10163
695	23181	10125
696	23210	10090
697	23245	10057
698	23277	10023
699	23317	9993
700	23352	9960
701	23385	9927
702	23411	9890
703	23444	9857
704	23473	9822
705	23501	9786
706	23527	9750
707	23554	9714
708	23596	9684
709	23624	9649
710	23659	9616
711	23705	9588
712	23740	9556
713	23794	9531
714	23824	9496
715	23857	9462
716	23888	9428
717	23920	9394
718	23948	9359
719	23978	9324
720	24010	9291
721	24040	9256
722	24071	9222
723	24103	9188
724	24142	9157
725	24230	9144
726	24311	9129
727	24343	9095
728	24375	9061
729	24406	9026
730	24439	8993
731	24466	8957
732	24495	8922
733	24523	8887
734	24551	8851
735	24576	8815
736	24605	8780
737	24636	8746
738	24662	8710
739	24701	8678
740	24736	8645
741	24766	8611
742	24801	8578
743	24829	8543
744	24856	8507
745	24884	8472
746	24912	8437
747	24945	8404
748	24974	8369
749	25012	8337
750	25043	8303
751	25067	8267
752	25097	8232
753	25129	8198
754	25156	8163
755	25185	8128
756	25221	8096
757	25265	8066
758	25304	8034
759	25334	8000
760	25364	7966
761	25390	7930
762	25417	7895
763	25449	7861
764	25474	7825
765	25500	7789
766	25529	7755
767	25559	7721
768	25587	7686
769	25613	7650
770	25666	7623
771	25696	7589
772	25722	7553
773	25754	7520
774	25791	7487
775	25820	7453
776	25849	7418
777	25881	7385
778	25907	7349
779	25933	7314
780	25966	7281
781	25997	7247
782	26030	7214
783	26062	7180
784	26094	7146
785	26118	7111
786	26149	7077
787	26180	7043
788	26210	7009
789	26252	6978
790	26297	6948
791	26328	6914
792	26361	6881
793	26391	6847
794	26416	6811
795	26444	6777
796	26475	6743
797	26501	6708
798	26533	6674
799	26563	6640
800	26595	6607
801	26619	6572
802	26645	6536
803	26681	6504
804	26708	6469
805	26740	6436
806	26770	6402
807	26798	6367
808	26824	6333
809	26859	6300
810	26897	6268
811	26927	6234
812	26955	6200
813	26993	6167
814	27028	6135
815	27055	6100
816	27083	6066
817	27114	6032
818	27139	5997
819	27165	5963
820	27196	5929
821	27228	5896
822	27263	5863
823	27293	5829
824	27323	5795
825	27351	5761
826	27376	5726
827	27416	5695
828	27447	5661
829	27575	5647
830	27603	5613
831	27646	5582
832	27673	5548
833	27704	5514
834	27739	5481
835	27767	5447
836	27791	5412
837	27819	5378
838	27852	5344
839	27878	5310
840	27904	5275
841	27941	5243
842	27997	5214
843	28029	5180
844	28062	5147
845	28087	5112
846	28112	5078
847	28142	5044
848	28174	5011
849	28202	4976
850	28233	4943
851	28277	4912
852	28306	4878
853	28335	4844
854	28368	4811
855	28395	4776
856	28421	4742
857	28452	4708
858	28487	4676
859	28519	4642
860	28556	4610
861	28590	4577
862	28616	4542
863	28652	4510
864	28684	4476
865	28707	4442
866	28733	4407
867	28767	4374
868	28800	4341
869	28827	4307
870	28857	4273
871	28888	4240
872	28916	4206
873	28942	4172
874	28977	4139
875	29005	4105
876	29042	4073
877	29075	4040
878	29110	4007
879	29135	3973
880	29161	3938
881	29193	3905
882	29228	3872
883	29254	3838
884	29286	3805
885	29316	3772
886	29348	3738
887	29380	3705
888	29409	3672
889	29436	3638
890	29461	3604
891	29488	3570
892	29517	3536
893	29542	3502
894	29573	3469
895	29610	3436
896	29647	3404
897	29673	3370
898	29700	3336
899	29738	3304
900	29766	3270
