iter	RMSE
789	3.626002279
790	3.623653511
791	3.621124175
792	3.619494385
793	3.618355286
794	3.617321851
795	3.61530858
796	3.614029083
797	3.612842079
798	3.610792205
799	3.608879809
800	3.605845749
801	3.602822184
802	3.601061188
803	3.597211429
804	3.594828379
805	3.593134115
806	3.591321547
807	3.590075489
808	3.587273562
809	3.58593422
810	3.583949758
811	3.58114197
812	3.578222586
813	3.576380961
814	3.574773603
815	3.572986544
816	3.57159491
817	3.570200006
818	3.568620839
819	3.567089019
820	3.565773424
821	3.563486247
822	3.56199464
823	3.558944026
824	3.556677863
825	3.552513188
826	3.550682238
827	3.548562068
828	3.546720352
829	3.544766286
830	3.54169527
831	3.539989097
832	3.537694474
833	3.536281461
834	3.534664989
835	3.531293324
836	3.52976126
837	3.528254038
838	3.526228146
839	3.524340669
840	3.52184722
841	3.520230479
842	3.518960537
843	3.517863194
844	3.515624736
845	3.51456134
846	3.512018922
847	3.510678782
848	3.508447919
849	3.505542697
850	3.503381456
851	3.50240475
852	3.499807699
853	3.496795495
854	3.494685431
855	3.49276556
856	3.490957454
857	3.48983071
858	3.487000556
859	3.485747231
860	3.48190647
861	3.478612308
862	3.477245655
863	3.474397132
864	3.472258028
865	3.471696595
866	3.469782964
867	3.467766134
868	3.464909877
869	3.462299074
870	3.460291673
871	3.456974881
872	3.454507651
873	3.45256593
874	3.450494708
875	3.449302732
876	3.447310849
877	3.444358308
878	3.442931192
879	3.440475674
880	3.438920021
881	3.437300836
882	3.43405751
883	3.432026923
884	3.431149926
885	3.429441411
886	3.428078679
887	3.426778018
888	3.424909251
889	3.422046386
890	3.42040108
891	3.418985337
892	3.416600834
893	3.415231333
894	3.413884973
895	3.412099059
896	3.410346145
897	3.408582006
898	3.407930159
899	3.403527429
900	3.401743804
901	3.399384894
902	3.397850143
903	3.396318407
904	3.394749801
905	3.393622756
906	3.391404689
907	3.389841798
908	3.387638616
909	3.386496895
910	3.382347605
911	3.381501449
912	3.379417238
913	3.377317573
914	3.374694714
915	3.371450664
916	3.370297994
917	3.368191015
918	3.365636514
919	3.36259996
920	3.360936906
921	3.360102829
922	3.358880467
923	3.357502683
924	3.356071438
925	3.354718505
926	3.352841853
927	3.35073818
928	3.347901858
929	3.34631493
930	3.344761023
931	3.342600844
932	3.339195869
933	3.337358011
934	3.336073342
935	3.334530119
936	3.332587602
937	3.33160937
938	3.329008813
939	3.327621873
940	3.326029951
941	3.322778702
942	3.320723152
943	3.319087549
944	3.318292539
945	3.317140978
946	3.314599274
947	3.313493132
948	3.310345352
949	3.308996691
950	3.307273325
951	3.306372193
952	3.304955354
953	3.302858683
954	3.301435696
955	3.298935735
956	3.297063809
957	3.295967276
958	3.293316595
959	3.291551141
960	3.290148831
961	3.286586339
962	3.285009969
963	3.283048781
964	3.281393957
965	3.279613801
966	3.276784995
967	3.275131037
968	3.273984262
969	3.271191627
970	3.269569543
971	3.268329011
972	3.266459239
973	3.264981942
974	3.264048265
975	3.262381207
976	3.260933197
977	3.259568126
978	3.257125852
979	3.256283948
980	3.254985673
981	3.252442186
982	3.251173639
983	3.249771985
984	3.2483542
985	3.246974307
986	3.244370009
987	3.243592492
988	3.241939516
989	3.240342711
990	3.23829594
991	3.235994058
992	3.23345822
993	3.231376698
994	3.229864087
995	3.22784971
996	3.22586124
997	3.223573076
998	3.222209566
999	3.220921239
